date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:30:43	9540/9540	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2019%20Mar%202023%2006:00:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
17:30:43	7360/7360	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2019%20Mar%202023%2006:00:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
17:30:44	8280/8280	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2019%20Mar%202023%2006:00:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
17:30:45	5676/5676	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2019%20Mar%202023%2006:02:52%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
17:30:45	14808/14808	---M--	200	added ('OK')	application/octet-stream	date:Sun,%2019%20Mar%202023%2006:00:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
17:30:45	15764/15764	---M--	200	added ('OK')	application/octet-stream	date:Sat,%2018%20Mar%202023%2017:52:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
17:30:45	990/990	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Mar%202023%2006:02:52%20GMT	https://www.classcentral.com/images/fade-gradient.png	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
17:30:51	50234/50234	---MC-	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/ABD/Desktop/Last_project/www.google-analytics.com/analytics.js	(from https://www.classcentral.com/)
17:30:51	597317/597317	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Mar%202023%2014:30:49%20GMT	https://www.classcentral.com/collections	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/collections.html	(from https://www.classcentral.com/)
17:30:51	604585/604585	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Mar%202023%2014:30:48%20GMT	https://www.classcentral.com/rankings	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/rankings.html	(from https://www.classcentral.com/)
17:30:51	580114/580114	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Mar%202023%2014:30:50%20GMT	https://www.classcentral.com/subjects	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/subjects.html	(from https://www.classcentral.com/)
17:30:53	894374/894374	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Mar%202023%2014:30:53%20GMT	https://www.classcentral.com/subject/cs	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/subject/cs.html	(from https://www.classcentral.com/)
17:30:53	852061/852061	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Mar%202023%2014:30:54%20GMT	https://www.classcentral.com/subject/health	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/subject/health.html	(from https://www.classcentral.com/)
17:30:54	7675/7675	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sun,%2019%20Mar%202023%2014:30:55%20GMT	https://www.classcentral.com/subject/business	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/subject/business	(from https://www.classcentral.com/)
17:30:54	7664/7664	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sun,%2019%20Mar%202023%2014:30:55%20GMT	https://www.classcentral.com/subject/humanities	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/subject/humanities	(from https://www.classcentral.com/)
17:30:54	820099/820099	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Mar%202023%2014:30:55%20GMT	https://www.classcentral.com/subject/maths	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/subject/maths.html	(from https://www.classcentral.com/)
17:30:55	7688/7688	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sun,%2019%20Mar%202023%2014:30:55%20GMT	https://www.classcentral.com/subject/engineering	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/subject/engineering	(from https://www.classcentral.com/)
